Index	Sample Well	Sample ID	Sample Plate	Call Rate	Genotype for 11_10646	GC Score for 11_10646	Array Info.Sentrix ID	Array Info.Sentrix Position
329	A06	BAROREI1289	OREI2024UMN-B3K-14	0.8283192	BB	0.4369634	208307680086	R12C02
333	E06	BAROREI1293	OREI2024UMN-B3K-14	0.8293002	BB	0.2226079	208307680077	R12C02
134	F05	BAROREI1094	OREI2024UMN-B3K-12	0.8306082	BB	0.600888	208182490074	R03C02
62	F08	BAROREI1022	OREI2024UMN-B3K-11	0.8315893	NC	0.0641523	208182490065	R03C02
191	G12	BAROREI1151	OREI2024UMN-B3K-12	0.8315893	BB	0.2779043	208182490077	R10C02
265	A10	25BS-NAM-143	OREI2024UMN-B3K-13	0.8319163	NC	-0.2149942	208307680069	R01C01
206	F02	BAROREI1166	OREI2024UMN-B3K-13	0.8342054	NC	0.05989924	208307680044	R03C02
310	F03	BAROREI1270	OREI2024UMN-B3K-14	0.8345324	BB	0.3231183	208307680077	R05C02
28	D04	BAROREI988	OREI2024UMN-B3K-11	0.8361675	NC	-0.2496722	208182490057	R07C01
270	F10	25BS-NAM-146	OREI2024UMN-B3K-13	0.8364944	NC	-0.3106011	208307680069	R11C01
43	C06	BAROREI1003	OREI2024UMN-B3K-11	0.8381295	NC	0.05354606	208182490057	R02C02
267	C10	BAROREI1227	OREI2024UMN-B3K-13	0.8381295	NC	-0.2586167	208307680069	R05C01
219	C04	25BS-NAM-132	OREI2024UMN-B3K-13	0.8391106	BB	0.2368105	208307680059	R05C01
307	C03	BAROREI1267	OREI2024UMN-B3K-14	0.8394375	BB	0.4846284	208307680086	R06C01
88	H11	BAROREI1048	OREI2024UMN-B3K-11	0.8404186	BB	0.1982585	208182490069	R07C02
177	A11	BAROREI1137	OREI2024UMN-B3K-12	0.8404186	BB	0.1809326	208182490077	R06C01
226	B05	BAROREI1186	OREI2024UMN-B3K-13	0.8407456	BB	0.3647158	208307680059	R08C01
262	F09	BAROREI1222	OREI2024UMN-B3K-13	0.8420537	NC	-0.291037	208307680061	R08C02
59	C08	BAROREI1019	OREI2024UMN-B3K-11	0.8423806	BB	0.141068	208182490065	R10C01
190	F12	BAROREI1150	OREI2024UMN-B3K-12	0.8433617	BB	0.2492519	208182490077	R08C02
317	E04	BAROREI1277	OREI2024UMN-B3K-14	0.8433617	BB	0.3994504	208307680077	R08C02
259	C09	BAROREI1219	OREI2024UMN-B3K-13	0.8440157	BB	0.3613473	208307680061	R02C02
37	E05	BAROREI997	OREI2024UMN-B3K-11	0.8456507	NC	-0.2320603	208182490057	R01C02
311	G03	BAROREI1271	OREI2024UMN-B3K-14	0.8466318	BB	0.4333012	208307680077	R06C01
71	G09	25BS-NAM-101	OREI2024UMN-B3K-11	0.8472858	BB	0.138404	208182490065	R10C02
54	F07	BAROREI1014	OREI2024UMN-B3K-11	0.8482668	BB	0.3165965	208182490065	R11C01
255	G08	BAROREI1215	OREI2024UMN-B3K-13	0.8485938	NC	-0.03466339	208307680061	R05C02
181	E11	25BS-NAM-123	OREI2024UMN-B3K-12	0.8492479	BB	0.1486401	208182490077	R01C02
264	H09	BAROREI1224	OREI2024UMN-B3K-13	0.8499019	BB	0.6303635	208307680061	R12C02
91	C12	BAROREI1051	OREI2024UMN-B3K-11	0.8515369	BB	0.1683607	208182490069	R02C02
12	D02	BAROREI972	OREI2024UMN-B3K-11	0.851864	BB	0.3887793	208182490036	R12C01
126	F04	BAROREI1086	OREI2024UMN-B3K-12	0.852518	BB	0.6080239	208182490074	R11C01
147	C07	BAROREI1107	OREI2024UMN-B3K-12	0.853499	BB	0.7054096	208182490076	R05C01
266	B10	25BS-NAM-144	OREI2024UMN-B3K-13	0.853499	BB	0.3672834	208307680069	R03C01
244	D07	BAROREI1204	OREI2024UMN-B3K-13	0.854153	NC	0.09457754	208307680061	R07C01
306	B03	BAROREI1266	OREI2024UMN-B3K-14	0.854153	BB	0.451171	208307680086	R05C02
313	A04	BAROREI1273	OREI2024UMN-B3K-14	0.85448	BB	0.3183015	208307680086	R08C02
63	G08	25BS-NAM-099	OREI2024UMN-B3K-11	0.8551341	BB	0.2403007	208182490065	R05C02
260	D09	BAROREI1220	OREI2024UMN-B3K-13	0.8554611	NC	-0.2951922	208307680061	R04C02
292	D01	BAROREI1252	OREI2024UMN-B3K-14	0.8577502	BB	0.4138343	208307680086	R01C01
77	E10	BAROREI1037	OREI2024UMN-B3K-11	0.8600392	BB	0.2909162	208182490069	R09C01
174	F10	BAROREI1134	OREI2024UMN-B3K-12	0.8603662	BB	0.3384432	208182490077	R11C01
202	B02	BAROREI1162	OREI2024UMN-B3K-13	0.8603662	BB	0.1330831	208307680044	R08C01
14	F02	BAROREI974	OREI2024UMN-B3K-11	0.8633093	BB	0.1996318	208182490036	R03C02
50	B07	25BS-NAM-094	OREI2024UMN-B3K-11	0.8636364	BB	0.1957612	208182490065	R03C01
70	F09	25BS-NAM-100	OREI2024UMN-B3K-11	0.8662525	BB	0.2036267	208182490065	R08C02
201	A02	BAROREI1161	OREI2024UMN-B3K-13	0.8662525	BB	0.1621788	208307680044	R06C01
285	E12	BAROREI1245	OREI2024UMN-B3K-13	0.8662525	NC	-0.3173519	208307680069	R06C02
32	H04	BAROREI992	OREI2024UMN-B3K-11	0.8665795	NC	-0.2928072	208182490057	R04C01
89	A12	BAROREI1049	OREI2024UMN-B3K-11	0.8669065	BB	0.4840021	208182490069	R09C02
13	E02	BAROREI973	OREI2024UMN-B3K-11	0.8682145	BB	0.217863	208182490036	R01C02
107	C02	BAROREI1067	OREI2024UMN-B3K-12	0.8685415	BB	0.7478955	208182490073	R10C01
34	B05	BAROREI994	OREI2024UMN-B3K-11	0.8708306	BB	0.1837339	208182490057	R08C01
220	D04	BAROREI1180	OREI2024UMN-B3K-13	0.8708306	BB	0.3970615	208307680059	R07C01
116	D03	BAROREI1076	OREI2024UMN-B3K-12	0.8714846	BB	0.7729538	208182490073	R04C02
83	C11	BAROREI1043	OREI2024UMN-B3K-11	0.8727927	BB	0.2789695	208182490069	R10C01
245	E07	25BS-NAM-138	OREI2024UMN-B3K-13	0.8727927	BB	0.3712553	208307680061	R09C01
17	A03	BAROREI977	OREI2024UMN-B3K-11	0.8734467	BB	0.3950711	208182490036	R09C02
320	H04	BAROREI1280	OREI2024UMN-B3K-14	0.8734467	NC	-0.3025455	208307680077	R07C01
131	C05	25BS-NAM-112	OREI2024UMN-B3K-12	0.8741007	BB	0.4788078	208182490074	R10C01
186	B12	BAROREI1146	OREI2024UMN-B3K-12	0.8741007	BB	0.4718077	208182490077	R11C02
234	B06	BAROREI1194	OREI2024UMN-B3K-13	0.8741007	BB	0.216496	208307680059	R11C02
22	F03	BAROREI982	OREI2024UMN-B3K-11	0.8747547	BB	0.3907024	208182490036	R08C02
252	D08	BAROREI1212	OREI2024UMN-B3K-13	0.8747547	BB	0.5386727	208307680061	R12C01
178	B11	BAROREI1138	OREI2024UMN-B3K-12	0.8757358	BB	0.3091321	208182490077	R08C01
324	D05	BAROREI1284	OREI2024UMN-B3K-14	0.8773708	BB	0.4774178	208307680086	R09C01
332	D06	BAROREI1292	OREI2024UMN-B3K-14	0.8776978	BB	0.5406809	208307680086	R11C01
312	H03	BAROREI1272	OREI2024UMN-B3K-14	0.8780249	BB	0.4183756	208307680077	R05C01
51	C07	BAROREI1011	OREI2024UMN-B3K-11	0.8793329	BB	0.2903024	208182490065	R05C01
187	C12	BAROREI1147	OREI2024UMN-B3K-12	0.8796599	BB	0.2758837	208182490077	R02C02
74	B10	25BS-NAM-102	OREI2024UMN-B3K-11	0.8799869	BB	0.2253106	208182490069	R03C01
257	A09	BAROREI1217	OREI2024UMN-B3K-13	0.8803139	BB	0.4684395	208307680061	R09C02
278	F11	BAROREI1238	OREI2024UMN-B3K-13	0.8806409	BB	0.6222306	208307680069	R03C02
182	F11	BAROREI1142	OREI2024UMN-B3K-12	0.880968	BB	0.2455801	208182490077	R03C02
130	B05	BAROREI1090	OREI2024UMN-B3K-12	0.881949	BB	0.5675962	208182490074	R08C01
110	F02	BAROREI1070	OREI2024UMN-B3K-12	0.882276	BB	0.7889484	208182490073	R03C02
277	E11	25BS-NAM-147	OREI2024UMN-B3K-13	0.882276	BB	0.4505328	208307680069	R01C02
328	H05	BAROREI1288	OREI2024UMN-B3K-14	0.882276	BB	0.4936351	208307680077	R09C01
25	A04	BAROREI985	OREI2024UMN-B3K-11	0.882603	NC	0.07683302	208182490057	R01C01
136	H05	BAROREI1096	OREI2024UMN-B3K-12	0.882603	BB	0.5967706	208182490074	R07C02
48	H06	BAROREI1008	OREI2024UMN-B3K-11	0.88293	NC	-0.3299867	208182490057	R12C02
26	B04	BAROREI986	OREI2024UMN-B3K-11	0.883584	NC	-0.3083722	208182490057	R03C01
199	G01	BAROREI1159	OREI2024UMN-B3K-13	0.883584	NC	0.1031602	208307680044	R02C01
203	C02	BAROREI1163	OREI2024UMN-B3K-13	0.883584	BB	0.3361324	208307680044	R10C01
111	G02	BAROREI1071	OREI2024UMN-B3K-12	0.8845651	BB	0.7334909	208182490073	R05C02
125	E04	BAROREI1085	OREI2024UMN-B3K-12	0.8845651	BB	0.5228309	208182490074	R09C01
189	E12	BAROREI1149	OREI2024UMN-B3K-12	0.8855461	BB	0.296538	208182490077	R06C02
235	C06	25BS-NAM-136	OREI2024UMN-B3K-13	0.8865271	BB	0.2009669	208307680059	R02C02
253	E08	25BS-NAM-141	OREI2024UMN-B3K-13	0.8868542	NC	-0.3022371	208307680061	R01C02
326	F05	BAROREI1286	OREI2024UMN-B3K-14	0.8868542	NC	-0.2848672	208307680077	R09C02
128	H04	BAROREI1088	OREI2024UMN-B3K-12	0.8871812	BB	0.7587363	208182490074	R04C01
249	A08	BAROREI1209	OREI2024UMN-B3K-13	0.8875082	BB	0.3484546	208307680061	R06C01
31	G04	BAROREI991	OREI2024UMN-B3K-11	0.8884892	NC	-0.2890914	208182490057	R02C01
298	B02	25BS-NAM-151	OREI2024UMN-B3K-14	0.8884892	NC	-0.30547	208307680086	R03C02
52	D07	BAROREI1012	OREI2024UMN-B3K-11	0.8888162	NC	0.1234411	208182490065	R07C01
237	E06	BAROREI1197	OREI2024UMN-B3K-13	0.8888162	BB	0.2070039	208307680059	R06C02
156	D08	BAROREI1116	OREI2024UMN-B3K-12	0.8897973	BB	0.6810699	208182490076	R12C01
200	H01	25BS-NAM-129	OREI2024UMN-B3K-13	0.8911053	NC	0.0415691	208307680044	R04C01
251	C08	25BS-NAM-140	OREI2024UMN-B3K-13	0.8911053	BB	0.5031951	208307680061	R10C01
16	H02	BAROREI976	OREI2024UMN-B3K-11	0.8937214	BB	0.4726763	208182490036	R07C02
287	G12	25BS-NAM-150	OREI2024UMN-B3K-13	0.8937214	NC	0.05078255	208307680069	R10C02
167	G09	BAROREI1127	OREI2024UMN-B3K-12	0.8953564	BB	0.6351864	208182490076	R10C02
184	H11	BAROREI1144	OREI2024UMN-B3K-12	0.8953564	BB	0.4440325	208182490077	R07C02
217	A04	BAROREI1177	OREI2024UMN-B3K-13	0.8956835	BB	0.2097071	208307680059	R01C01
276	D11	BAROREI1236	OREI2024UMN-B3K-13	0.8956835	NC	-0.32386	208307680069	R12C01
158	F08	BAROREI1118	OREI2024UMN-B3K-12	0.8969915	BB	0.8802056	208182490076	R03C02
175	G10	BAROREI1135	OREI2024UMN-B3K-12	0.8969915	BB	0.2743515	208182490077	R02C01
233	A06	BAROREI1193	OREI2024UMN-B3K-13	0.8969915	BB	0.263554	208307680059	R09C02
46	F06	25BS-NAM-093	OREI2024UMN-B3K-11	0.8973185	BB	0.1984146	208182490057	R08C02
109	E02	BAROREI1069	OREI2024UMN-B3K-12	0.8979725	BB	0.5700828	208182490073	R01C02
238	F06	BAROREI1198	OREI2024UMN-B3K-13	0.8982995	BB	0.284188	208307680059	R08C02
81	A11	25BS-NAM-104	OREI2024UMN-B3K-11	0.8986266	BB	0.2680945	208182490069	R06C01
246	F07	25BS-NAM-139	OREI2024UMN-B3K-13	0.8986266	BB	0.2346707	208307680061	R11C01
321	A05	BAROREI1281	OREI2024UMN-B3K-14	0.8986266	BB	0.3227185	208307680086	R10C02
61	E08	BAROREI1021	OREI2024UMN-B3K-11	0.8996076	BB	0.1346368	208182490065	R01C02
82	B11	BAROREI1042	OREI2024UMN-B3K-11	0.8996076	BB	0.4687634	208182490069	R08C01
76	D10	BAROREI1036	OREI2024UMN-B3K-11	0.8999346	BB	0.208003	208182490069	R07C01
49	A07	BAROREI1009	OREI2024UMN-B3K-11	0.9002616	BB	0.1318569	208182490065	R01C01
124	D04	BAROREI1084	OREI2024UMN-B3K-12	0.9005886	BB	0.7101146	208182490074	R07C01
72	H09	BAROREI1032	OREI2024UMN-B3K-11	0.9012426	BB	0.4040895	208182490065	R12C02
232	H05	25BS-NAM-135	OREI2024UMN-B3K-13	0.9018967	BB	0.405317	208307680059	R07C02
79	G10	BAROREI1039	OREI2024UMN-B3K-11	0.9022236	BB	0.2623531	208182490069	R02C01
299	C02	BAROREI1259	OREI2024UMN-B3K-14	0.9025507	NC	-0.3065376	208307680086	R04C01
305	A03	BAROREI1265	OREI2024UMN-B3K-14	0.9025507	NC	-0.3161097	208307680086	R06C02
23	G03	BAROREI983	OREI2024UMN-B3K-11	0.9028777	NC	-0.3295145	208182490036	R10C02
308	D03	BAROREI1268	OREI2024UMN-B3K-14	0.9028777	BB	0.5127592	208307680086	R05C01
87	G11	BAROREI1047	OREI2024UMN-B3K-11	0.9032047	BB	0.4437003	208182490069	R05C02
290	B01	BAROREI1250	OREI2024UMN-B3K-14	0.9035317	BB	0.5821382	208307680086	R01C02
15	G02	BAROREI975	OREI2024UMN-B3K-11	0.9038587	BB	0.387914	208182490036	R05C02
90	B12	25BS-NAM-105	OREI2024UMN-B3K-11	0.9045128	BB	0.4285142	208182490069	R11C02
106	B02	BAROREI1066	OREI2024UMN-B3K-12	0.9054938	BB	0.6337507	208182490073	R08C01
172	D10	BAROREI1132	OREI2024UMN-B3K-12	0.9054938	BB	0.3703094	208182490077	R07C01
283	C12	25BS-NAM-149	OREI2024UMN-B3K-13	0.9054938	BB	0.4513229	208307680069	R02C02
192	H12	BAROREI1152	OREI2024UMN-B3K-12	0.9064748	BB	0.5152282	208182490077	R12C02
240	H06	BAROREI1200	OREI2024UMN-B3K-13	0.9064748	BB	0.2795174	208307680059	R12C02
211	C03	BAROREI1171	OREI2024UMN-B3K-13	0.9068018	NC	0.09229949	208307680044	R02C02
173	E10	BAROREI1133	OREI2024UMN-B3K-12	0.9074559	BB	0.567755	208182490077	R09C01
93	E12	BAROREI1053	OREI2024UMN-B3K-11	0.9077829	BB	0.3522266	208182490069	R06C02
195	C01	25BS-NAM-127	OREI2024UMN-B3K-13	0.9077829	BB	0.2033725	208307680044	R05C01
135	G05	25BS-NAM-115	OREI2024UMN-B3K-12	0.9081099	BB	0.5156901	208182490074	R05C02
137	A06	BAROREI1097	OREI2024UMN-B3K-12	0.9090909	BB	0.7073362	208182490074	R09C02
112	H02	BAROREI1072	OREI2024UMN-B3K-12	0.9094179	BB	0.7906955	208182490073	R07C02
183	G11	BAROREI1143	OREI2024UMN-B3K-12	0.9097449	BB	0.3457327	208182490077	R05C02
66	B09	BAROREI1026	OREI2024UMN-B3K-11	0.911053	BB	0.3014032	208182490065	R11C02
291	C01	BAROREI1251	OREI2024UMN-B3K-14	0.911053	BB	0.3805153	208307680086	R02C01
300	D02	BAROREI1260	OREI2024UMN-B3K-14	0.911707	NC	-0.3215088	208307680086	R03C01
42	B06	BAROREI1002	OREI2024UMN-B3K-11	0.912034	BB	0.1859189	208182490057	R11C02
114	B03	BAROREI1074	OREI2024UMN-B3K-12	0.912361	BB	0.9716752	208182490073	R11C02
204	D02	BAROREI1164	OREI2024UMN-B3K-13	0.912361	BB	0.4975761	208307680044	R12C01
56	H07	25BS-NAM-096	OREI2024UMN-B3K-11	0.9130151	BB	0.3346084	208182490065	R04C01
218	B04	BAROREI1178	OREI2024UMN-B3K-13	0.9130151	BB	0.3812385	208307680059	R03C01
68	D09	BAROREI1028	OREI2024UMN-B3K-11	0.9133421	BB	0.2302666	208182490065	R04C02
132	D05	25BS-NAM-113	OREI2024UMN-B3K-12	0.9133421	BB	0.5172496	208182490074	R12C01
40	H05	BAROREI1000	OREI2024UMN-B3K-11	0.913669	BB	0.2934891	208182490057	R07C02
288	H12	BAROREI1248	OREI2024UMN-B3K-13	0.9139961	NC	-0.3411844	208307680069	R12C02
297	A02	BAROREI1257	OREI2024UMN-B3K-14	0.9143231	BB	0.5010031	208307680086	R04C02
75	C10	BAROREI1035	OREI2024UMN-B3K-11	0.9146501	BB	0.2228603	208182490069	R05C01
286	F12	BAROREI1246	OREI2024UMN-B3K-13	0.9153041	BB	0.5364543	208307680069	R08C02
144	H06	25BS-NAM-117	OREI2024UMN-B3K-12	0.9156311	BB	0.4860286	208182490074	R12C02
162	B09	BAROREI1122	OREI2024UMN-B3K-12	0.9159582	BB	0.8060447	208182490076	R11C02
105	A02	BAROREI1065	OREI2024UMN-B3K-12	0.9166121	BB	0.7267386	208182490073	R06C01
108	D02	BAROREI1068	OREI2024UMN-B3K-12	0.9166121	BB	0.5960795	208182490073	R12C01
275	C11	BAROREI1235	OREI2024UMN-B3K-13	0.9169392	BB	0.581247	208307680069	R10C01
9	A02	BAROREI969	OREI2024UMN-B3K-11	0.9172662	BB	0.4549255	208182490036	R06C01
80	H10	BAROREI1040	OREI2024UMN-B3K-11	0.9172662	BB	0.3272377	208182490069	R04C01
123	C04	BAROREI1083	OREI2024UMN-B3K-12	0.9172662	BB	0.7442947	208182490074	R05C01
289	A01	BAROREI1249	OREI2024UMN-B3K-14	0.9172662	NC	-0.3035099	208307680086	R02C02
5	E01	BAROREI965	OREI2024UMN-B3K-11	0.9179202	BB	0.4083924	208182490036	R09C01
176	H10	25BS-NAM-122	OREI2024UMN-B3K-12	0.9179202	BB	0.3004011	208182490077	R04C01
168	H09	BAROREI1128	OREI2024UMN-B3K-12	0.9182472	BB	0.7091731	208182490076	R12C02
159	G08	BAROREI1119	OREI2024UMN-B3K-12	0.9185742	BB	0.7461442	208182490076	R05C02
319	G04	BAROREI1279	OREI2024UMN-B3K-14	0.9192283	BB	0.5360489	208307680077	R08C01
41	A06	BAROREI1001	OREI2024UMN-B3K-11	0.9195552	NC	-0.3316864	208182490057	R09C02
225	A05	BAROREI1185	OREI2024UMN-B3K-13	0.9198823	BB	0.5418407	208307680059	R06C01
94	F12	BAROREI1054	OREI2024UMN-B3K-11	0.9205363	BB	0.5965198	208182490069	R08C02
58	B08	BAROREI1018	OREI2024UMN-B3K-11	0.9215173	BB	0.3030334	208182490065	R08C01
157	E08	BAROREI1117	OREI2024UMN-B3K-12	0.9218444	BB	0.5678514	208182490076	R01C02
198	F01	25BS-NAM-128	OREI2024UMN-B3K-13	0.9218444	BB	0.5010419	208307680044	R11C01
96	H12	BAROREI1056	OREI2024UMN-B3K-11	0.9221714	BB	0.6366526	208182490069	R12C02
284	D12	BAROREI1244	OREI2024UMN-B3K-13	0.9221714	NC	-0.331254	208307680069	R04C02
316	D04	BAROREI1276	OREI2024UMN-B3K-14	0.9224983	BB	0.399148	208307680086	R07C01
104	H01	BAROREI1064	OREI2024UMN-B3K-12	0.9228254	BB	0.5008889	208182490073	R04C01
8	H01	BAROREI968	OREI2024UMN-B3K-11	0.9231524	BB	0.3740695	208182490036	R04C01
45	E06	BAROREI1005	OREI2024UMN-B3K-11	0.9234794	NC	-0.3385862	208182490057	R06C02
212	D03	BAROREI1172	OREI2024UMN-B3K-13	0.9234794	BB	0.1439141	208307680044	R04C02
151	G07	BAROREI1111	OREI2024UMN-B3K-12	0.9238064	BB	0.9669343	208182490076	R02C01
155	C08	25BS-NAM-120	OREI2024UMN-B3K-12	0.9241334	BB	0.8773335	208182490076	R10C01
24	H03	BAROREI984	OREI2024UMN-B3K-11	0.9244604	NC	-0.3355871	208182490036	R12C02
153	A08	BAROREI1113	OREI2024UMN-B3K-12	0.9244604	BB	0.8530767	208182490076	R06C01
210	B03	25BS-NAM-130	OREI2024UMN-B3K-13	0.9247875	BB	0.4602903	208307680044	R11C02
138	B06	BAROREI1098	OREI2024UMN-B3K-12	0.9254414	BB	0.5461169	208182490074	R11C02
314	B04	BAROREI1274	OREI2024UMN-B3K-14	0.9254414	BB	0.3886604	208307680086	R07C02
47	G06	BAROREI1007	OREI2024UMN-B3K-11	0.9257685	BB	0.3616863	208182490057	R10C02
119	G03	25BS-NAM-110	OREI2024UMN-B3K-12	0.9264225	BB	0.844823	208182490073	R10C02
256	H08	BAROREI1216	OREI2024UMN-B3K-13	0.9270765	BB	0.5688697	208307680061	R07C02
274	B11	BAROREI1234	OREI2024UMN-B3K-13	0.9274035	NC	-0.3164679	208307680069	R08C01
78	F10	BAROREI1038	OREI2024UMN-B3K-11	0.9277306	BB	0.5460255	208182490069	R11C01
121	A04	25BS-NAM-111	OREI2024UMN-B3K-12	0.9277306	BB	0.9626055	208182490074	R01C01
318	F04	BAROREI1278	OREI2024UMN-B3K-14	0.9277306	BB	0.4614962	208307680077	R07C02
29	E04	25BS-NAM-090	OREI2024UMN-B3K-11	0.9280576	BB	0.1570874	208182490057	R09C01
188	D12	BAROREI1148	OREI2024UMN-B3K-12	0.9293656	BB	0.3776271	208182490077	R04C02
208	H02	BAROREI1168	OREI2024UMN-B3K-13	0.9296926	BB	0.3577147	208307680044	R07C02
227	C05	25BS-NAM-134	OREI2024UMN-B3K-13	0.9300196	BB	0.5450549	208307680059	R10C01
222	F04	25BS-NAM-133	OREI2024UMN-B3K-13	0.9303466	BB	0.4951228	208307680059	R11C01
279	G11	BAROREI1239	OREI2024UMN-B3K-13	0.9306737	NC	-0.318909	208307680069	R05C02
180	D11	BAROREI1140	OREI2024UMN-B3K-12	0.9323087	BB	0.5153824	208182490077	R12C01
216	H03	BAROREI1176	OREI2024UMN-B3K-13	0.9329627	BB	0.4140284	208307680044	R12C02
